title,release_date,director,cast
"Mortal Instruments, The: City of Bones",2013,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan, Kevin Zegers, Jemima West, Godfrey Gao, Lena Headey, Jared Harris, Jonathan Rhys Meyers"
"Butler, The",2013,Lee Daniels,"Forest Whitaker, Oprah Winfrey, David Oyelowo, Terrence Howard, Cuba Gooding Jr., Lenny Kravitz"
Paranoia,2013,Robert Luketic,"Liam Hemsworth, Gary Oldman, Harrison Ford, Amber Heard, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss"
Jobs,2013,Joshua Michael Stern,"Ashton Kutcher, Dermot Mulroney, Josh Gad, Lukas Haas, Matthew Modine, J.K. Simmons"
Kick-Ass 2,2013,Jeff Wadlow,"Aaron Taylor-Johnson, Donald Faison, Clark Duke, Lindy Booth, Jim Carrey, John Leguizamo, Morris Chestnut, Christopher Mintz-Plasse, Chloe Grace Moretz, Olga Kurkulina"
Bobby,2006,Emilio Estevez,"Anthony Hopkins, Laurence Fishburne, Martin Sheen, Heather Graham, William H. Macy, Elijah Wood, Linday Lohan, Emilio Estevez, Helen Hunt, Martin Sheen, Christian Slater, Demi Moore, Sharon Stone"
Games People Play: New York,2004,James Ronald Whitney,"Joshua Coleman, Sarah Smith, Scott Ryan, Dani Marco, David Maynard, Elisha Imani Wilson"
Mifune,2000,Søren Kragh-Jacobsen,"Iben Hjejle, Anders W. Berthelsen, Jesper Asholt, Emil Tarding, Anders Hove, Sofie Gråbøl"
Sin City,2005,"Robert Rodriguez, Frank Miller, Quentin Tarantino","Bruce Willis, Elijah Wood, Nick Stahl, Benicio Del Toro, Brittany Murphy, Jamie King, Rosario Dawson, Jessica Alba, Clive Owen, Mickey Rourke, Michael Clarke Duncan"
"Haunting, The",1999,Jan de Bont,"Lili Taylor, Liam Neeson, Catherine Zeta Jones, Owen Wilson"
"Final Season, The",2007,David M. Evans,"Sean Astin, Powers Boothe, Rachael Leigh Cook, Michael Angarano, Tom Arnold"
"Wicker Man, The",2006,Neil LaBute,"Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy, Molly Parker, Leelee Sobieski, Diane Delano"
Breaking and Entering,2006,Anthony Minghella,"Jude Law, Juliette Binoche, Robin Wright Penn, Martin Freeman, Ray Winstone, Vera Farmiga, Rafi Gavron"
"Girl Next Door, The",2004,Luke Greenfield,"Emile Hirsch, Elisha Cuthbert, Nicholas Downs, Timothy Olyphant, Chris Marquette, Paul Dano, James Remar, Jacob Young"
High Fidelity,2000,Stephen Frears,"John Cusack, Lili Taylor, Catherine Zeta-Jones, Tim Robbins, Todd Louiso, Iben Hjejle, Joan Cusack, Lisa Bonet, Jack Black, Natasha Wagner"
How It Ends,2018,David M. Rosenthal,"Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Grace Dove, Kerry Bishe"
Leave No Trace,2018,Debra Granik,"Ben Foster, Thomasin Harcourt McKenzie"
Skyscraper,2018,Rawson Marshall Thurber,"Dwayne Johnson, McKenna Roberts, Byron Mann, Hannah Quinlivan, Chin Han, Noah Taylor, Pablo Schreiber, Roland Moller, Neve Campbell, Noah Cottrell"
Siberia,2018,Matthew Ross,"Keanu Reeves, Ana Ularu, Pasha D. Lychnikoff, Eugene Lipinski, Molly Ringwald"
Sorry to Bother You,2018,Boots Riley,"Lakeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick, Terry Crews, Armie Hammer, Steven Yeun, Danny Glover"
"Swingers Weekend, A",2018,Jon E. Cohen,"Rancel Edwards, Erin Karpluk, Michael Xavier, Erin Agostino, Jonas Chernick, Mia Kirshner"
"Once Upon a Time, Cinema",,Mohsen Makhmalbaf,"Mehdi Hashemi, Ezzatolah Entezami, Akbar Abdi"
"Lighthouse, The",2018,Chris Crow,"Mark Lewis Jones, Michael Jibson"
Ant Man and the Wasp,2018,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Laurence Fishburne, Hannah John-Kamen, Walton Goggins, Michael Pena"
"First Purge, The",2018,Gerard McMurray,"Y’lan Noel, Lex Scott Davis, Joivan Wade, Mugga, Patch Darragh, Marisa Tomei, Totimi Paul"
Touching the Void,,Kevin Macdonald,"Joe Simpson, Simon Yates, Brendan Mackey, Nicholas Aaron, Richard Hawking"
"Rocker, The",2008,Peter Cattaneo,"Rainn Wilson, Christina Applegate, Josh Gad, Emma Stone, Teddy Geiger, Jane Lynch"
Natural Born Killers,1994,Oliver Stone,"Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tommy Lee Jones, Tom Sizemore"
Galaxy Quest,1999,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub, Daryl Mitchell, Enrico Colantoni, Sam Rockwell, Missi Pyle"
Immortal Beloved,1995,Bernard Rose,"Gary Oldman, Jeroen Krabbe, Johanna Ter Steege, Isabella Rossellini, Valeria Golino, Marco Hofschneider"
Surf's Up,2007,"Ash Brannon, Chris Buck","(voices) Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder, James Woods, Diedrich Bader"
"Living Daylights, The",,John Glen,"Timothy Dalton, Caroline Bliss, Desmond Llewelyn, John Terry, Thomas Wheatley, Art Malik, John Rhys-Davies, Joe Don Baker, Jeroen Krabbe, Maryam D'Abo, Robert Brown"
Groundhog Day,1993,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliot"
Pineapple Express,2008,David Gordon Green,"Seth Rogen, James Franco, Gary Cole, Rosie Perez, Danny R. McBride, Kevin Corrigan, Amber Heard"
Man Bites Dog,1993,Remy Belvaux,"Remy Belvaux, Benoit Poelvoorde, Andre Bonzei"
Eighth Grade,2018,Bo Burnham,"Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Fred Hechinger, Catherine Oliviere, Daniel Zolghadri"
Puzzle,2018,Marc Turtletaub,"Kelly MacDonald, Irrfan Khan, David Denham, Austin Abrams, Bubba Weiler"
Marty,,Delbert Mann,"Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli, Joe Mantell, Karen Steele, Jerry Paris"
Blindspotting,2018,Carlos Lopez Estrada,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones, Ethan Embry, Tisha Campbell-Martin"
Mission: Impossible - Fallout,2018,Christopher McQuarrie,"Tom Cruise, Wes Bentley, Michelle Monaghan, Vanessa Kirby, Angela Bassett, Sean Harris, Rebecca Ferguson, Simon Pegg, Ving Rhames, Henry Cavill, Alec Baldwin"
Maquia,2018,Mari Okada,"Manaka Iwami, Miyu Irino, Yuki Kaji, Ai Kayano, Yoshimasa Hosoya, Yoko Hikasa"
Occupation,2018,Luke Sparke,"Dan Ewing, Temuera Morrison, Stephany Jacobsen, Rhiannon Fish, Zachary Garred, Izzy Stevens, Charles Terrier"
Unfriended: Dark Web,2018,Stephen Susco,"Colin Woodell, Stephanie Nogueras, Rebecca Rittenhouse, Betty Gabriel, Savina Windyani, Connor Del Rio, Andrew Lees"
"Equalizer 2, The",2018,Anton Fuqua,"Denzel Washington, Pedro Pascal, Melissa Leo, Bill Pullman, Jonathan Scarfe, Orson Bean, Ashton Sanders"
Mamma Mia: Here We Go Again,2018,Ol Parker,"Amanda Seyfried, Alexa Davies, Jessica Keenan Wynn, Hugh Skinner, Josh Dylan, Jeremy Irvine, Andy Garcia, Cher, Julie Walters, Christine Baranski, Colin Firth, Stellan Skarsgård, Dominic Cooper, Pierce Brosnan, Lily James, Meryl Streep"
Poltergeist,2015,Gil Kenan,"Sam Rockwell, Rosemarie DeWitt, Saxon Sharbino, Kyle Catlett, Kennedi Clements, Jared Harris, Jane Adams"
Tomorrowland,2015,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy"
Good Kill,2015,Andrew Niccol,"Ethan Hawke, Bruce Greenwood, January Jones, Zoe Kravitz"
Pitch Perfect 2,2015,Elizabeth Banks,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow, Skylar Astin, Birgitte Hjort Sorensen, John Michael Higgins, Elizabeth Banks"
Mad Max: Fury Road,2015,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Rosie Huntington-Whiteley, Zoe Kravitz, Riley Keough, Abbey Lee, Courtney Eaton"
"D Train, The",2015,"Andrew Mogel, Jarrad Paul","Jack Black, James Marsden, Kathryn Hahn, Jeffrey Tambor, Russell Posner"
Hot Pursuit,2015,Anne Fletcher,"Reese Witherspoon, Sofia Vergara, Michael Mosley, John Carroll Lynch, Joaquin Cosio"
Far from the Madding Crowd,2015,Thomas Vinterberg ,"Carey Mulligan, Michael Sheen, Matthias Schoenaerts, Tom Sturridge, Juno Temple"
Welcome to Me,2015,Shira Piven,"Kristen Wiig, James Marsden, Wes Bentley, Linda Cardellini, Tim Robbins, Joan Cusack, Jennifer Jason Leigh"
Avengers: Age of Ultron,2015,Joss Whedon,"Scarlett Johansson, Elizabeth Olsen, Chris Hemsworth, Jeremy Renner, Chris Evans, Robert Downey Jr., Mark Ruffalo, Paul Bettany, Don Cheadle, James Spader, Samuel L. Jackson, Aaron Taylor-Johnson"
Don't Look Now,1973,Nicolas Roeg,"Donald Sutherland, Julie Christie, Hilary Mason, Clelia Matania, Massimo Serato, Renato Scarpa"
This Means War,2012,McG,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger, Chelsea Handler"
"Vow, The",2012,Michael Sucsy,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill, Jessica McNamee, Wendy Crewson, Tatiana Maslany, Scott Speedman"
Safe House,2012,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Brendan Gleeson, Vera Farmiga, Sam Shepard, Robert Patrick, Nora Arnezeder"
Perfect Sense,2012,David Mackenzie,"Ewan McGregor, Eva Green, Ewen Bremner, Stephan Dillane, Connie Nielsen"
"Woman in Black, The",2012,James Watkins,"Daniel Radcliffe, Ciaran Hinds, Janet McTeer"
"Help, The",2011,Tate Taylor,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain, Anna O'Reilly, Allison Janney, Cecily Tyson"
Chronicle,2012,Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly, Ashley Hinshaw, Bo Petersen"
"Innkeepers, The",2012,Ti West,"Sara Paxton, Pat Healy, Kelly McGillis"
"Grey, The",2012,Joe Carnahan,"Liam Neeson, Dallas Roberts, Frank Grillo, Dermot Mulroney, Nonso Anozie, Joe Anderson, Ben Bray"
Affliction,1998,Paul Schrader,"Nick Nolte, Sissy Spacek, James Coburn, Jim True, Holmes Osborne, Willem Dafoe, Mary Beth Hurt, Brigid Tierney"
Leaving Las Vegas,,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands"
Rising Sun,1993,Philip Kaufman,"Sean Connery, Wesley Snipes, Harvey Keitel, Cary-Hiroyuki Tagawa, Kevin Anderson"
Great Expectations,1998,Alfonso Cuaron,"Ethan Hawke, Gwyneth Paltrow, Anne Bancroft, Robert DeNiro, Chris Cooper, Hank Azaria, Raquel Beaudene, Jeremy Kissner"
Beowulf,2007,Robert Zemeckis,"Ray Winstone, Anthony Hopkins, Robin Wright Penn, Angelina Jolie, John Malkovich, Brendan Gleeson, Crispin Glover, Alison Lohman"
"Visitor, The",2008,Thomas McCarthy,"Richard Jenkins, Haaz Sleiman, Danai Gurira, Hiam Abbass"
Sex and the City,2008,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, David Eigenberg, Evan Handler"
March of the Penguins,2005,Luc Jacquet,Morgan Freeman
Stir of Echoes,1999,David Koepp,"Kevin Bacon, Kathryn Erbe, Illeana Douglas, Kevin Dunn, Zachary David Cope"
"Firm, The",1993,Sydney Pollack,"Tom Cruise, Gene Hackman, Jeanne Tripplehorne, Hal Holbrook, Ed Harris, Holly Hunter, Wilford Brimley"
"Lost Daughter, The",2021,Maggie Gyllenhaal,"Olivia Colman, Jessie Buckley, Dakota Johnson, Ed Harris, Peter Sarsgaard, Dagmara Dominczyk, Paul Mescal, Jack Farthing"
"Matrix Resurrections, The",2021,Lana Wachowski,"Keanu Reeves, Christina Ricci, Priyanka Chopra Jonas, Jada Pinkett Smith, Neil Patrick Harris, Jessica Henwick, Jonathan Groff, Yaha Abdul-Mateen II, Carrie-Ann Moss, Lambert Wilson"
Don't Look Up,2021,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan, Jonah Hill, Mark Rylance, Tyler Perry, Timothee Chalamet, Ron Perlman, Ariana Grande, Scott Mescudi, Melanie Lynskey"
Licorice Pizza,2021,Paul Thomas Anderson,"Cooper Hoffman, Maya Rudolph, Christine Ebersole, Mary Elizabeth Ellis, John Michael Higgins, Benny Safdie, Bradley Cooper, Tom Waits, Sean Penn, Alana Haim, Skyler Gisondo"
"King's Man, The",2021,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Djimon Hounsou, Harris Dickinson, Charles Dance, Matthew Goode, Tom Hollander, Rhys Ifans"
Sing 2,2021,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Taron Egerton, Tori Kelly, Nick Kroll, Scarlett Johansson, Bobby Cannavale, Halsey, Bono"
"Novice, The",2021,Lauren Hadaway,"Isabelle Fuhrman, Amy Forsyth, Dilone, Jonathan Cherry, Kate Drummond"
Spider-Man: No Way Home,2021,Jon Watts,"Tom Holland, Andrew Garfield, J.K. Simmons, Benedict Wong, Marisa Tomei, Jon Favreau, Rhys Ifans, Thomas Haden Church, Alfred Molina, Jamie Foxx, Willem Dafoe, Benedict Cumberbatch, Jacob Batalon, Zendaya, Tobey Maguire"
Cyrano,2021,Joe Wright,"Peter Dinklage, Haley Bennett, Kelvin Harrison Jr., Ben Mendelsohn, Bashir Salahuddin"
Nightmare Alley,2021,Guillermo del Toro,"Bradley Cooper, Rooney Mara, Cate Blanchett, Richard Jenkins, Willem Dafoe, Toni Collette, David Strathairn, Ron Perlman, Holt McCallany"
"Back-Up Plan, The",2010,Alan Poul,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Tom Bosley, Linda Lavin, Robert Klein"
Death at a Funeral,2010,Neil LaBute,"Chris Rock, Columbus Short, Peter Dinklage, Luke Wilson, James Marsden, Zoe Saldana, Regina Hall, Danny Glover, Tracy Morgan, Martin Lawrence, Loretta Devine"
"Joneses, The",2010,Derrick Borte,"David Duchovny, Demi Moore, Amber Heard, Ben Hollingsworth, Gary Cole, Glenne Headly, Lauren Hutton"
Kick-Ass,2010,Matthew Vaughn,"Aaron Johnson, Nicolas Cage, Chloe Moretz, Mark Strong, Christopher Mintz-Plasse, Lyndsy Fonseca, Clark Duke, Evan Peters"
After.Life,2010,Agnieszka Wojtowicz-Vosloo,"Christina Ricci, Liam Neeson, Justin Long, Chandler Canterbury"
Date Night,2010,Shawn Levy,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson, Jimmi Simpson, Common, William Fichtner"
"Greatest, The",2010,Shana Feste,"Pierce Brosnan, Susan Sarandon, Carey Mulligan, Johnny Simmons, Aaron Johnson, Zoe Kravitz, Michael Shannon, Jennifer Ehle"
"Life of Emile Zola, The",,William Dieterle,"Paul Muni, Joseph Schildkraut, Gloria Holden, Gale Sondergaard, Henry O'Neill, John Litel"
Vincere,2010,Marco Bellocchio,"Giovanna Mezzogiorno, Filippo Timi, Michela Cescon, Fausto Russo Alesi, Pier Giorgio Bellocchio, Corrrado Invernizzi"
Clash of the Titans,2010,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Mads Mikkelsen, Liam Cunningham"
Rocket Science,2007,Jeffrey Blitz,"Reece Thompson, Anna Kendrick, Nicholas D'Agosto, Vincent Piazza"
Love Me if You Dare,2004,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly, Gérard Watkins, Emmanuelle Grövold"
One Last Thing,2006,Alex Steyermark,"Michael Angarano, Cynthia Nixon, Sunny Mabrey, Gina Gerson, Johnny Messner, Matt Bush, Gideon Glick"
"Aviator, The",2004,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, John C. Reilly, Kate Beckinsale, Adam Scott, Alec Baldwin, Ian Holm, Alan Alda"
Atlantis,2001,"Gary Trousdale, Kirk Wise","(voices) Michael J. Fox, Leonard Nimoy, Jacqueline Obradors, Don Novello, Phil Morris, Claudia Christian, Corey Burton, Jim Varney, Cree Summer, James Garner, David Ogden Stiers"
Meet Joe Black,1998,Martin Brest,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber, Marcia Gay Harden, Jeffrey Tambor"
"Lives of Others, The",2007,Florian Henckel von Donnersmarck,"Ulrich Muhe, Martina Gedeck, Sebastian Koch, Ulrich Turkur, Thomas Thieme"
Dungeons &amp; Dragons,2000,Courtney Solomon,"Justin Whalin, Marlon Wayans, Thora Birch, Zoe McLellan, Kristen Wilson, Lee Arenberg, Bruce Payne, Jeremy Irons, Tom Baker"
Severance,2007,Christopher Smith,"Danny Dyer, Laura Harris, Tim McInnerny, Toby Stephens, Claudie Blakley, Andy Nyman, Babou Ceesay, David Gilliam"
Love Serenade,,Shirley Barrett,"Miranda Otto, Rebecca Firth, George Shetsov, John Alansu"
Austin Powers in Goldmember,2002,Jay Roach,"Mike Myers, Michael Caine, Beyoncé Knowles, Fred Savage, Michael York, Robert Wagner, Seth Green, Mindy Sterling, Verne J. Troyer"
Heat,1995,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Diane Venora, Amy Brenneman, Tom Sizemore, Jon Voight, Ashley Judd, Wes Studi"
Jane Eyre,1996,Franco Zeffirelli,"Charlotte Gainsbourg, William Hurt, Joan Plowright, Josephine Serre, Anna Paquin, Geraldine Chaplin, Elle Macpherson, Amanda Root"
Alpha Dog,2007,Nick Cassavetes,"Emile Hirsch, Justin Timberlake, Anton Yelchin, Ben Foster, Shaun Hatosy, Sharon Stone, Bruce Willis, Christopher Marquette"
Die Hard with a Vengeance,1995,John McTiernan,"Bruce Willis, Samuel L. Jackson, Jeremy Irons, Graham Greene, Colleen Camp, Larry Bryggman, Sam Phillips"
Nancy Drew,2007,Andrew Fleming,"Emma Roberts, Max Thieriot, Tate Donovan, Josh Flitter, Rachel Leigh Cook, Barry Bostwick, Laura Elena Harring"
42 Up,1999,Michael Apted,11 of 14 Original Interview Subjects
Get Smart,2008,Peter Segal,"Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terrence Stamp, James Caan, Ken Davatian, Dalip Singh"
"Duchess, The",2008,Saul Dibb,"Keira Knightley, Ralph Fiennes, Charlotte Rampling, Dominic Cooper, Hayley Atwell"
Exit to Eden,1994,Garry Marshall,"Dana Delany, Paul Mercurio, Rosie O'Donnell, Dan Aykroyd, Stuart Wilson, Iman"
"Green Knight, The",2021,David Lowery,"Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury, Sean Harris, Kate Dickie, Ralph Ineson"
Jungle Cruise,2021,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Jack Whitehall, Jesse Plemons, Paul Giamatti, Veronica Falcon, Edgar Ramiez"
Old,2021,M. Night Shyamalan,"Gael García Bernal, Eliza Scanlen, Nolan River, Emun Elliott, Alex Wolff, Alexa Swinton, Embeth Davidtz, Thomasin McKenzie, Aaron Pierre, Ken Leung, Nikki Amuka-Bird, Abbey Lee, Rufus Sewell, Vicky Krieps, Kathleen Chalfant"
Space Jam: A New Legacy,2021,Malcolm D. Lee,"LeBron James, Eric Bauza, Jeff Bergman, Harper Leight Alexander, Ceyair J. Wright, Sonequa Martin-Green, Khris Davis, Cedric Joe, Don Cheadle, Zendaya"
Roadrunner,2021,Morgan Neville,"Anthony Bourdain, Christopher Collins, Lydia Tenaglia, Eric Ripert, Ottavia Bourdain, Tom Vitale"
Hiroshima mon amour,,Alain Resnais,"Emmanuelle Riva, Eiji Okada"
Last Days in Vietnam,2014,Rory Kennedy,"Henry Kissinger, Richard Armitage, Frank Snepp, Stuart Herrington, Terry McNamara"
Black Widow,2021,Cate Shortland,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone, O-T Fagbenle, William Hurt"
No Sudden Move,2021,Steven Soderbergh,"Don Cheadle, Benicio Del Toro, David Harbour, Amy Seimetz, Jon Hamm, Ray Liotta, Kieran Culkin, Noah Jupe, Brendan Fraser, Bill Duke, Julia Fox, Matt Damon"
"Forever Purge, The",2021,Everardo Gout,"Ana de la Reguera, Tenoch Huerta, Josh Lucas, Leven Rambin, Cassidy Freeman, Alejandro Edda, Will Patton"
"Little Things, The",2021,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales, Isabel Arraiza"
Batman: The Killing Joke,2016,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, Maury Sterling"
"Dissident, The",2021,Bryan Fogel,"Jamal Khashoggi, Mohammed Bin Salman, Hatice Cengiz, Omar Abdulaziz"
One Night in Miami,2020,Regina King,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr."
Pieces of a Woman,2020,Kornel Mundruczo,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger, Benny Safdie, Sarah Snook"
Soul,2020,Pete Docter,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Angela Bassett"
Promising Young Woman,2020,Emerald Fennell,"Carey Mulligan, Clancy Brown, Jennifer Coolidge, Bo Burnham, Alison Brie, Connie Britton, Alfred Molina"
News of the World,2020,Paul Greengrass,"Tom Hanks, Helena Zengel"
Wonder Woman 1984,2020,Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen, Lilly Aspell"
"Midnight Sky, The",2020,George Clooney,"George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demian Bichir, Kyle Chandler, Caoilinn Springall"
Jerry Maguire,1996,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renee Zellweger, Regina King, Bonnie Hunt, Jay Mohr"
Happiness,1998,Todd Solondz,"Jane Adams, Dylan Baker, Lara Flynn Boyle, Philip Seymour Hoffman, Cynthia Stevenson, Jared Harris, Ben Gazzara, Louise Lasser, Camryn Manheim"
August Rush,2007,Kirsten Sheridan,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Robin Williams, Terrence Howard, Leon G. Thomas III, Jamia Simone Nash, William Sadler"
"Chronicles of Narnia, The: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Tilda Swinton, James McAvoy, Jim Broadbent, Liam Neeson (voice)"
"Fast and the Furious, The: Tokyo Drift",2006,Justin Lin,"Lucas Black, Bow Wow, Nathalie Kelly, Brian Tee, Sung Kang, Brian Goodman, Sonny Chiba"
"Rookie, The",2002,John Lee Hancock,"Dennis Quaid, Rachel Griffiths, Brian Cox, Trevor Morgan, Beth Grant, Jay Hernandez"
"Jamon, Jamon",,Bigas Luna,"Penelope Cruz, Anna Galiena, Javier Bardem, Stefania Sandrelli, Juan Diego"
"Birdcage, The",1996,Mike Nichols,"Robin Williams, Nathan Lane, Gene Hackman, Dianne Wiest, Dan Futterman, Calista Flockhart, Hank Azaria, Christine Baranski"
"Whole Wide World, The",1996,Dan Ireland,"Vincent D'Onofrio, Renee Zellweger, Ann Wedgeworth, Harve Presnell, Benjamin Mouton"
American Beauty,1999,Sam Mendes,"Kevin Spacey, Scott Bakula, Chris Cooper, Allison Janney, Peter Gallagher, Mena Suvari, Wes Bentley, Thora Birch, Annette Bening, Sam Robards"
"Soloist, The",2009,Joe Wright,"Robert Downey, Jr., Jamie Foxx, Catherine Keener, Tom Hollander"
Earth,2009,"Alastair Fothergill, Mark Linfield",James Earl Jones (Narrator)
"Informers, The",2009,Gregor Jordan,"Billy Bob Thornton, Rhys Ifans, Lou Taylor Pucci, Chris Isaak, Mel Raido, Winona Ryder, Mickey Rourke, Austin Nichols, Amber Heard, Jon Foster, Kim Basinger, Brad Renfro"
Tyson,2009,James Toback,Mike Tyson
WarGames,1983,John Badham,"Matthew Broderick, Ally Sheedy, Dabney Coleman, John Wood, Barry Corbin"
Crank 2: High Voltage,2009,Neveldine &amp; Taylor,"Jason Statham, Amy Smart, Clifton Collins Jr., Bai Ling, David Carradine, Corey Haim, Efren Ramirez, Dwight Yoakam"
17 Again,2009,Burr Steers,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry, Sterling Knight, Michelle Trachtenberg, Hunter Parrish, Melora Hardin"
State of Play,2009,Kevin Macdonald,"Russell Crowe, Rachel McAdams, Ben Affleck, Jason Bateman, Robin Wright Penn, Helen Mirren, Jeff Daniels"
Risky Business,1983,Paul Brickman,"Tom Cruise, Rebecca De Mornay, Joe Pantoliano, Richard Masur, Bronson Pinchot, Curtis Armstrong"
Observe and Report,2009,Jody Hill,"Seth Rogen, Anna Faris, Ray Liotta, Celia Weston, Michael Peña, Collette Wolfe, John Yuan, Matt Yuan, Jesse Plemons"
In Time,2011,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Vincent Kartheiser, Cillian Murphy, Olivia Wilde"
"Rum Diary, The",2011,Bruce Robinson,"Johnny Depp, Aaron Eckhart, Amber Heard, Michael Rispoli, Richard Jenkins, Giovanni Ribisi"
Martha Marcy May Marlene,2011,Sean Durkin,"Elizabeth Olsen, John Hawkes, Sarah Paulson, Hugh Dancy, Louisa Krause"
Paranormal Activity 3,2011,"Henry Joost, Ariel Schulman","Lauren Bittner, Christopher Nicholas Smith, Chloe Csengery, Jessica Tyler Brown, Dustin Ingram, Katie Featherstone, Sprague Grayden"
Margin Call,2011,J.C. Chandor,"Kevin Spacey, Paul Bettany, Jeremy Irons, Zachary Quinto, Penn Badgley, Simon Baker, Demi Moore, Stanley Tucci, Mary McDonnell"
Trespass,2011,Joel Schumacher,"Nicolas Cage, Nicole Kidman, Liana Liberato, Cam Gigandet, Ben Mendelsohn, Dash Mihok, Jordana Spiro"
"Thing, The",2011,Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen, Adewale Akinnuoye-Agbaje, Paul Braunstein"
Footloose,2011,Craig Brewer,"Kenny Wormald, Julianne Hough, Dennis Quaid, Ziah Colon, Ray McKinnon, Miles Teller, Patrick John Flueger, Andie MacDowell"
Real Steel,2011,Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn"
"Ides of March, The",2011,George Clooney,"Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Even Rachel Wood, Marisa Tomei, Jeffrey Wright, Jennifer Ehle, Max Minghella"
"Spy Who Loved Me, The",,Lewis Gilbert,"Roger Moore, Barbara Bach, Curt Jurgens, Richard Kiel, Caroline Munro"
There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Dillon Freasier, Ciarán Hinds, Kevin J. O'Connor"
License to Kill,,John Glen,"Timothy Dalton, Caroline Bliss, Desmond Llewelyn, David Hedison, Wayne Newton, Benicio Del Toro, Anthony Zerbe, Talisa Soto, Carey Lowell, Robert Davi, Robert Brown"
