name,NetWorth_billions,Country,Source,Rank,Age,Industry,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Brad Kelley,2.6,United States,tobacco,1205,64,Real Estate,1991,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Raj Kumar & Kishin RK,2.6,Singapore,real estate,1205,66,Real Estate,1947,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Stephen Lansdown,2.6,Guernsey,financial services,1205,68,Finance & Investments,1981,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Aloke Lohia,2.6,India,petrochemicals,1205,62,Manufacturing,1988,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Kalanithi Maran,2.6,India,media,1205,55,Media & Entertainment,1993,"founder, chairman",new,male,South Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
C. Dean Metropoulos,2.6,United States,investments,1205,74,Food & Beverage,1990,investor,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Daniel Pritzker,2.6,United States,"hotels, investments",1205,61,Finance & Investments,1957,relation,aquired,male,North America,inherited,Financial,Real Estate,father
Dan Snyder,2.6,United States,Washington Redskins,1205,56,Sports,1988,founder,new,male,North America,founder non-finance,0,Other,not inherited
Helmut Sohmen,2.6,Austria,shipping,1205,81,Logistics,1955,relation,new,male,Europe,inherited,Traded Sectors,Other,father
Evan Williams,2.6,United States,Twitter,1205,49,Technology,2006,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Wu Guangming,2.6,China,medical equipment,1205,59,Healthcare,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Charles Zegar,2.6,United States,Bloomberg LP,1205,73,Media & Entertainment,1981,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
John Arrillaga,2.5,United States,real estate,1249,84,Real Estate,1960,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Carol Jenkins Barnett,2.5,United States,Publix supermarkets,1249,64,Food & Beverage,1930,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Andrei Bokarev,2.5,Russia,"metals, mining",1249,54,Manufacturing,2002,president,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Jim Breyer,2.5,United States,venture capital,1249,59,Technology,2006,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Charles Bronfman,2.5,Canada,liquor,1249,89,Food & Beverage,1857,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Leon G. Cooperman,2.5,United States,hedge funds,1249,77,Finance & Investments,1991,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Phillip Frost,2.5,United States,pharmaceuticals,1249,84,Healthcare,1972,Chairman and Chief Executive Officer,aquired,male,North America,executive,New Sectors,Technology-Medical,not inherited
Mikhail Gutseriev,2.5,Russia,"oil, real estate",1249,63,Energy,2002,owner,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Hans-Werner Hector,2.5,Germany,SAP,1249,81,Technology,1972,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Mohamed Mansour,2.5,Egypt,diversified,1249,73,Diversified,1952,relation,new,male,Middle East/North Africa,inherited,Financial,Diversified financial,father
Najib Mikati,2.5,Lebanon,telecom,1249,65,Telecom,1982,founder,new,male,Middle East/North Africa,privatized and resources,Non-Traded Sectors,Media,not inherited
Taha Mikati,2.5,Lebanon,telecom,1249,76,Telecom,1982,founder,new,male,Middle East/North Africa,privatized and resources,Non-Traded Sectors,Media,not inherited
Pedro Moreira Salles,2.5,Brazil,"banking, minerals",1249,61,Diversified,1926,relation,new,male,Latin America,inherited,Financial,Money Management,3rd generation
Nandan Nilekani,2.5,India,software services,1249,65,Technology,1981,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Ravi Pillai,2.5,India,construction,1249,67,Construction & Engineering,1979,chairman,new,male,South Asia,executive,Non-Traded Sectors,Constrution,not inherited
Victor Pinchuk,2.5,Ukraine,"steel pipes, diversified",1249,60,Metals & Mining,1983,founder,new,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
John Pritzker,2.5,United States,"hotels, investments",1249,67,Finance & Investments,1957,relation,aquired,male,North America,inherited,Financial,Real Estate,father
Kavitark Ram Shriram,2.5,United States,"venture capital, Google",1249,64,Technology,1998,investor,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Peter Unger,2.5,Germany,auto repair,1249,76,Automotive,1985,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Eddie & Sol Zakay,2.5,United Kingdom,real estate,1249,,Real Estate,0,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Michael Ashley,2.4,United Kingdom,sports retailing,1299,56,Fashion & Retail,1982,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Yvonne Bauer,2.4,Germany,media,1299,44,Media & Entertainment,1875,relation,new,female,Europe,inherited,Non-Traded Sectors,Media,5th generation or longer
Alberto Bombassei,2.4,Italy,automotive brakes,1299,80,Automotive,1961,relation,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Richard Chandler,2.4,New Zealand,investments,1299,62,Finance & Investments,1986,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Chen Jinxia,2.4,China,investments,1299,53,Finance & Investments,1994,relation,new,female,East Asia,inherited,Financial,Diversified financial,spouse/widow
Mark Coombs,2.4,United Kingdom,finance,1299,60,Finance & Investments,1998,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Adi Godrej,2.4,India,consumer goods,1299,79,Diversified,1897,relation,new,male,South Asia,inherited,Traded Sectors,Consumer,3rd generation
Jamshyd Godrej,2.4,India,consumer goods,1299,72,Diversified,1897,relation,new,male,South Asia,inherited,Traded Sectors,Consumer,3rd generation
Lawrence Ho,2.4,Hong Kong,casinos,1299,44,Gambling & Casinos,1962,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Douglas Hsu,2.4,Taiwan,diversified,1299,78,Diversified,1940,relation,new,male,East Asia,inherited,Financial,Diversified financial,father
Vadim Moshkovich,2.4,Russia,"agriculture, land",1299,54,Food & Beverage,1995,founder,new,male,Europe,privatized and resources,Traded Sectors,Consumer,not inherited
Erwin Franz Mueller,2.4,Germany,drugstores,1299,88,Fashion & Retail,1953,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Rishad Naoroji,2.4,India,consumer goods,1299,69,Diversified,1897,relation,new,male,South Asia,inherited,Traded Sectors,Consumer,3rd generation
Dmitry Pumpyansky,2.4,Russia,steel pipes,1299,57,Metals & Mining,1934,former CEO,privatization,male,Europe,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Antonio Luiz Seabra,2.4,Brazil,cosmetics,1299,78,Fashion & Retail,1969,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Shen Wenrong,2.4,China,steel production,1299,75,Metals & Mining,1975,chairman,new,male,East Asia,privatized and resources,Resource Related,Non-consumer industrial,not inherited
Donald Trump,2.4,United States,real estate,1299,74,Real Estate,1920,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
T.Y. Tsai,2.4,Taiwan,finance,1299,68,Finance & Investments,1954,relation,new,male,East Asia,inherited,Financial,Money Management,not inherited
Michael Ying,2.4,Hong Kong,retail,1299,71,Fashion & Retail,1968,former chairman and CEO,new,male,East Asia,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Vanich Chaiyawan,2.3,Thailand,"insurance, beverages",1362,89,Finance & Investments,1942,Chairman,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
"Edward DeBartolo, Jr.",2.3,United States,shopping centers,1362,74,Real Estate,1944,relation,new,male,North America,inherited,Financial,Real Estate,father
Lindsay Fox,2.3,Australia,"logistics, real estate",1362,83,Logistics,1956,founder,new,male,North America,founder non-finance,0,Other,not inherited
Noam Gottesman,2.3,United States,hedge funds,1362,59,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Joseph Grendys,2.3,United States,poultry processing,1362,59,Food & Beverage,1985,owner,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
David Hains,2.3,Australia,Investments,1362,90,Finance & Investments,1980,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Michael Hintze,2.3,Australia,investment,1362,67,Finance & Investments,1999,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Baba Kalyani,2.3,India,engineering,1362,72,Construction & Engineering,1961,relation,new,male,South Asia,inherited,0,Other,father
Mustafa Rahmi Koc,2.3,Turkey,diversified,1362,90,Diversified,1926,relation,new,male,Middle East/North Africa,inherited,Financial,Diversified financial,3rd generation
Lam Kong,2.3,China,pharmaceuticals,1362,56,Healthcare,1995,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Liu Ming Chung,2.3,Brazil,paper,1362,58,Manufacturing,1995,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Alexander Mamut,2.3,Russia,investments,1362,61,Finance & Investments,1999,investor,new,male,Europe,privatized and resources,Financial,Diversified financial,not inherited
Daniel Mate,2.3,Spain,"mining, commodities",1362,57,Metals & Mining,1974,leadership,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Clayton Mathile,2.3,United States,pet food,1362,80,Food & Beverage,1946,former CEO,new,male,North America,executive,Traded Sectors,Consumer,not inherited
Aristotelis Mistakidis,2.3,Greece,"mining, commodities",1362,59,Metals & Mining,1974,"co-director of zinc, copper and lead",new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Fernando Roberto Moreira Salles,2.3,Brazil,"banking, minerals",1362,74,Diversified,1926,relation,new,male,Latin America,inherited,Financial,Money Management,3rd generation
Joao Moreira Salles,2.3,Brazil,"banking, minerals",1362,59,Diversified,1926,relation,new,male,Latin America,inherited,Financial,Money Management,3rd generation
Walther Moreira Salles Junior,2.3,Brazil,"banking, minerals",1362,64,Finance & Investments,1926,relation,new,male,Latin America,inherited,Financial,Money Management,3rd generation
Stewart Rahr,2.3,United States,drug distribution,1362,75,Healthcare,1944,relation,new,male,North America,executive,New Sectors,Technology-Medical,not inherited
Krit Ratanarak,2.3,Thailand,"media, real estate",1362,74,Media & Entertainment,1945,relation,new,male,East Asia,inherited,Non-Traded Sectors,Media,father
Stephan Schmidheiny,2.3,Switzerland,investments,1362,73,Finance & Investments,1912,relation,new,male,Europe,inherited,Financial,Diversified financial,4th generation
Sze Man Bok,2.3,China,hygiene products,1362,71,Manufacturing,1985,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Katsumi Tada,2.3,Japan,real estate,1362,75,Real Estate,1974,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Ted Turner,2.3,United States,cable television,1362,82,Media & Entertainment,1970,founder,aquired,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Jitendra Virwani,2.3,India,real estate,1362,55,Real Estate,1993,founder,new,male,South Asia,self-made finance,Financial,Real Estate,not inherited
Arkady Volozh,2.3,Russia,search engine,1362,57,Media & Entertainment,1997,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Lang Walker,2.3,Australia,real estate,1362,75,Real Estate,1972,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Wei Ying-Chiao,2.3,Taiwan,"food, beverages",1362,66,Food & Beverage,1991,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Elaine Wynn,2.3,United States,"casinos, hotels",1362,78,Gambling & Casinos,1973,founder,new,female,North America,self-made finance,Financial,Real Estate,not inherited
Jerry Yang,2.3,United States,Yahoo,1362,52,Technology,1994,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Kostyantin Zhevago,2.3,Ukraine,mining,1362,47,Metals & Mining,1960,founder,privatization,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Edward Bass,2.2,United States,"oil, investments",1444,75,Energy,1919,relation,new,male,North America,inherited,Resource Related,Energy,father
Bruce Cheng,2.2,Taiwan,electronics,1444,85,Technology,1971,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Dermot Desmond,2.2,Ireland,finance,1444,70,Finance & Investments,1995,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
"Frank Fertitta, III.",2.2,United States,"casinos, mixed martial arts",1444,59,Sports,1976,ceo,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Lorenzo Fertitta,2.2,United States,"casinos, mixed martial arts",1444,52,Sports,1976,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Gu Wei,2.2,China,consumer electronics,1444,56,Manufacturing,2005,chairman,new,male,East Asia,executive,Traded Sectors,Non-consumer industrial,not inherited
Carlos Hank Rhon,2.2,Mexico,banking,1444,73,Diversified,1992,founder,new,male,Latin America,privatized and resources,Financial,Money Management,not inherited
Gerry Harvey,2.2,Australia,retail,1444,81,Fashion & Retail,1982,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Huang Wei,2.2,China,real estate,1444,61,Real Estate,1993,president,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Hui Lin Chit,2.2,China,hygiene products,1444,67,Manufacturing,1985,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Miguel Krigsner,2.2,Brazil,cosmetics,1444,71,Fashion & Retail,1977,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Li Shuirong,2.2,China,petrochemicals,1444,64,Manufacturing,1995,chairman,new,male,East Asia,executive,Traded Sectors,Non-consumer industrial,not inherited
Liang Xinjun,2.2,China,conglomerate,1444,53,Diversified,1992,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Rubens Menin Teixeira de Souza,2.2,Brazil,"home building, banking",1444,65,Diversified,1979,founder,new,male,Latin America,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Bob Parsons,2.2,United States,web hosting,1444,70,Technology,1997,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Alberto Roemmers,2.2,Argentina,pharmaceuticals,1444,94,Healthcare,1921,relation,new,male,Latin America,inherited,New Sectors,Technology-Medical,father
Tang Yiu,2.2,Hong Kong,fashion retail,1444,87,Fashion & Retail,1981,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
David Walentas,2.2,United States,real estate,1444,82,Real Estate,1979,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Wu Yiling,2.2,China,pharmaceuticals,1444,71,Healthcare,1992,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Gavril Yushvaev,2.2,Russia,"precious metals, real estate",1444,63,Finance & Investments,1992,owner,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Michael Ashcroft,2.1,United Kingdom,security,1517,75,Finance & Investments,1972,founder,new,male,Europe,founder non-finance,0,Other,not inherited
George Bishop,2.1,United States,oil & gas,1517,83,Energy,1981,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Julio Bozano,2.1,Brazil,banking,1517,85,Finance & Investments,1960,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Ray Davis,2.1,United States,pipelines,1517,79,Energy,1995,ceo,aquired,male,North America,executive,Traded Sectors,Non-consumer industrial,not inherited
William Fisher,2.1,United States,Gap,1517,64,Fashion & Retail,1969,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Gordon Getty,2.1,United States,Getty Oil,1517,87,Energy,1904,relation,new,male,North America,inherited,Resource Related,Energy,father
Lutz Mario Helmig,2.1,Germany,hospitals,1517,74,Healthcare,1987,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Ilkka Herlin,2.1,Finland,"elevators, escalators",1517,62,Manufacturing,1924,relation,aquired,male,Europe,inherited,Traded Sectors,Non-consumer industrial,4th generation
Huang Shih Tsai,2.1,Hong Kong,real estate,1517,69,Real Estate,1990,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Keeree Kanjanapas,2.1,Thailand,transportation,1517,70,Real Estate,1992,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Bruce Karsh,2.1,United States,private equity,1517,65,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Igor Makarov,2.1,Russia,investments,1517,59,Energy,1992,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Howard Marks,2.1,United States,private equity,1517,74,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Vincent McMahon,2.1,United States,entertainment,1517,75,Sports,1952,relation,new,male,North America,inherited,0,0,father
David Murdock,2.1,United States,"Dole, real estate",1517,97,Food & Beverage,1851,Chairman and Chief Executive Officer,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
Roger Penske,2.1,United States,cars,1517,84,Automotive,1965,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Florentino Perez,2.1,Spain,construction,1517,74,Construction & Engineering,1983,Chairman and Chief Executive Officer,aquired,male,Europe,executive,Non-Traded Sectors,Constrution,not inherited
Dieter Schnabel,2.1,Germany,chemicals,1517,75,Manufacturing,1950,relation,aquired,male,Europe,inherited,Traded Sectors,Non-consumer industrial,father
S. Daniel Abraham,2,United States,Slim-Fast,1580,96,Food & Beverage,1940,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Roberto Angelini Rossi,2,Chile,"forestry, mining",1580,72,Diversified,1955,relation,new,male,Latin America,inherited,Resource Related,Mining and metals,father
Anne Beaufour,2,France,pharmaceuticals,1580,57,Healthcare,1929,relation,new,female,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Henri Beaufour,2,France,pharmaceuticals,1580,55,Healthcare,1929,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,3rd generation
John de Mol,2,Netherlands,TV programs,1580,66,Media & Entertainment,1994,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Glenn Dubin,2,United States,hedge funds,1580,63,Finance & Investments,1992,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Walter Frey,2,Switzerland,car dealerships,1580,77,Automotive,1926,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Sam Goi,2,Singapore,frozen foods,1580,74,Food & Beverage,1969,executive chairman,aquired,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Bahaa Hariri,2,Lebanon,"real estate, investments",1580,54,Real Estate,1978,relation,aquired,male,Middle East/North Africa,inherited,Financial,Real Estate,father
Ilona Herlin,2,Finland,"elevators, escalators",1580,56,Manufacturing,1924,relation,aquired,female,Europe,inherited,Traded Sectors,Non-consumer industrial,4th generation
Jeffery Hildebrand,2,United States,oil,1580,62,Energy,1989,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Reid Hoffman,2,United States,LinkedIn,1580,53,Technology,2002,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
W. Herbert Hunt,2,United States,oil,1580,92,Energy,1920,relation,new,male,North America,inherited,Resource Related,Energy,father
George Joseph,2,United States,insurance,1580,99,Finance & Investments,1961,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Thomas Lee,2,United States,private equity,1580,77,Finance & Investments,1974,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Solomon Lew,2,Australia,retail,1580,76,Fashion & Retail,0,chairman,new,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Jeffrey Lorberbaum,2,United States,flooring,1580,66,Manufacturing,1875,Chairman and Chief Executive Officer,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
Craig McCaw,2,United States,telecom,1580,71,Telecom,1987,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Charles Munger,2,United States,Berkshire Hathaway,1580,97,Finance & Investments,1839,vice-chairman,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
David Nahmad,2,Monaco,art collection,1580,73,Fashion & Retail,1960,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Jonathan Nelson,2,United States,private equity,1580,64,Finance & Investments,1989,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Kevin Plank,2,United States,Under Armour,1580,48,Fashion & Retail,1998,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Jennifer Pritzker,2,United States,"hotels, investments",1580,70,Finance & Investments,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Linda Pritzker,2,United States,"hotels, investments",1580,67,Service,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Thaksin Shinawatra,2,Thailand,investments,1580,71,Finance & Investments,1986,founder,new,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Martua Sitorus,2,Indonesia,palm oil,1580,61,Manufacturing,1991,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Svetakov,2,Russia,real estate,1580,53,Finance & Investments,1993,owner,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Alain Taravella,2,France,real estate development,1580,73,Real Estate,1994,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Hamdi Ulukaya,2,Turkey,greek yogurt,1580,48,Food & Beverage,2005,founder,new,male,Middle East/North Africa,founder non-finance,Traded Sectors,Consumer,not inherited
Georg von Opel,2,Switzerland,"real estate, investments",1580,54,Finance & Investments,1862,relation,new,male,Europe,inherited,Financial,Real Estate,4th generation
Wei Ing-Chou,2,Taiwan,"food, beverages",1580,67,Food & Beverage,1991,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Yan Zhi,2,China,real estate,1580,48,Real Estate,2005,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Joao Alves de Queiroz Filho,1.9,Brazil,pharmaceuticals,1664,68,Diversified,2001,founder,new,male,Latin America,founder non-finance,Traded Sectors,Consumer,not inherited
Lee Bass,1.9,United States,"oil, investments",1664,64,Energy,1919,relation,new,male,North America,inherited,Resource Related,Energy,father
Nicola Bulgari,1.9,Italy,luxury goods,1664,80,Fashion & Retail,1884,relation,new,male,Europe,inherited,Traded Sectors,Consumer,5th generation or longer
James Dinan,1.9,United States,hedge funds,1664,61,Finance & Investments,1991,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Mark Dixon,1.9,United Kingdom,office real estate,1664,61,Real Estate,1989,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Bulent Eczacibasi,1.9,Turkey,"pharmaceuticals, diversified",1664,71,Diversified,1942,relation,new,male,Middle East/North Africa,inherited,New Sectors,Technology-Medical,father
Robert Fisher,1.9,United States,Gap,1664,67,Fashion & Retail,1969,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Yusuf Hamied,1.9,India,pharmaceuticals,1664,84,Healthcare,1935,relation,new,male,South Asia,inherited,New Sectors,Technology-Medical,father
Roberto Hernandez Ramirez,1.9,Mexico,banking,1664,79,Finance & Investments,1884,former CEO,aquired,male,Latin America,self-made finance,Financial,Money Management,not inherited
Stanley Hubbard,1.9,United States,DirecTV,1664,87,Media & Entertainment,1925,owner,new,male,North America,executive,Non-Traded Sectors,Media,not inherited
Arthur Irving,1.9,Canada,oil,1664,91,Energy,1924,relation,new,male,North America,inherited,Resource Related,Energy,father
Hamilton James,1.9,United States,investments,1664,69,Finance & Investments,1985,president,new,male,North America,self-made finance,Financial,Money Management,not inherited
Jiang Zhaobai,1.9,China,real estate,1664,57,Real Estate,1997,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Yusaku Maezawa,1.9,Japan,online retail,1664,45,Technology,2004,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Lachhman Das Mittal,1.9,India,tractors,1664,90,Automotive,1969,founder,new,male,South Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Ermirio Pereira de Moraes,1.9,Brazil,diversified,1664,88,Diversified,1919,relation,new,male,Latin America,inherited,Financial,Diversified financial,father
Maria Helena Moraes Scripilliti,1.9,Brazil,diversified,1664,90,Diversified,1919,relation,new,female,Latin America,inherited,Financial,Diversified financial,father
Stefan Olsson,1.9,Sweden,diversified,1664,72,Diversified,1939,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Larry Robbins,1.9,United States,hedge funds,1664,51,Finance & Investments,2001,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Brian Roberts,1.9,United States,Comcast,1664,61,Media & Entertainment,1969,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Evgeny (Eugene) Shvidler,1.9,United States,"oil & gas, investments",1664,57,Energy,1990,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Todd Wagner,1.9,United States,online media,1664,60,Media & Entertainment,1995,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Wei Yin-Chun,1.9,Taiwan,"food, beverages",1664,64,Food & Beverage,1991,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Wei Yin-Heng,1.9,Taiwan,"food, beverages",1664,62,Food & Beverage,1991,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Gordon Wu,1.9,Hong Kong,real estate,1664,85,Real Estate,1972,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Zhu Xingliang,1.9,China,construction,1664,61,Construction & Engineering,1994,investor,new,male,East Asia,executive,Non-Traded Sectors,Constrution,not inherited
Anita Zucker,1.9,United States,chemicals,1664,69,Manufacturing,1670,relation,privatization,female,North America,inherited,Traded Sectors,Non-consumer industrial,spouse/widow
Mohamed Al Fayed,1.8,Egypt,"retail, investments",1750,92,Fashion & Retail,1849,owner,aquired,male,Middle East/North Africa,executive,0,0,not inherited
Roman Avdeev,1.8,Russia,"banking, development",1750,53,Finance & Investments,1994,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
O. Francis Biondi,1.8,United States,hedge funds,1750,56,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Vladimir Bogdanov,1.8,Russia,oil,1750,69,Energy,1993,president,privatization,male,Europe,privatized and resources,Resource Related,Energy,not inherited
David Booth,1.8,United States,mutual funds,1750,75,Finance & Investments,1981,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Robert Duggan,1.8,United States,pharmaceuticals,1750,76,Healthcare,1991,investor,aquired,male,North America,executive,New Sectors,Technology-Medical,not inherited
Faruk Eczacibasi,1.8,Turkey,"pharmaceuticals, diversified",1750,66,Diversified,1942,relation,new,male,Middle East/North Africa,inherited,New Sectors,Technology-Medical,father
N. Murray Edwards,1.8,Canada,oil & gas,1750,61,Energy,1989,chairman,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
James France,1.8,United States,"Nascar, racing",1750,76,Sports,1947,relation,new,male,North America,inherited,0,Other,father
Mario Gabelli,1.8,United States,money management,1750,79,Finance & Investments,1977,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Reinold Geiger,1.8,Austria,beauty products,1750,73,Fashion & Retail,1976,owner,aquired,male,Europe,executive,Traded Sectors,Consumer,not inherited
Rolf Gerling,1.8,Germany,insurance,1750,66,Finance & Investments,1904,relation,new,male,Europe,inherited,Financial,Money Management,father
Brian Higgins,1.8,United States,hedge funds,1750,56,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Drew Houston,1.8,United States,cloud storage service,1750,38,Technology,2007,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
